Year;Country;pais_iso;continente;ECI;ECI+
1964;Angola;ago;af;-1.31753;-1.22675
1964;Cote d'Ivoire;civ;af;-0.915735;-1.02821
1964;Cameroon;cmr;af;-1.12852;-0.889755
1964;Republic of the Congo;cog;af;-0.930207;-0.898081
1964;Algeria;dza;af;-0.131416;0.090527
1964;Egypt;egy;af;-0.221166;0.16942
1964;Ethiopia;eth;af;-0.902296;-0.989268
1964;Gabon;gab;af;-1.32597;-1.63186
1964;Ghana;gha;af;-1.01263;-1.42815
1964;Guinea;gin;af;-0.820637;-1.47287
1964;Kenya;ken;af;-0.980498;-0.579247
1964;Morocco;mar;af;-0.169306;-0.175655
1964;Madagascar;mdg;af;-0.973703;-0.96062
1964;Mozambique;moz;af;-0.908401;-0.664449
1964;Mauritania;mrt;af;-0.368982;-1.51008
1964;Nigeria;nga;af;-1.47845;-1.34847
1964;Sudan;sdn;af;-1.35926;-1.41509
1964;Senegal;sen;af;-0.622882;-0.887511
1964;Togo;tgo;af;-0.983611;-1.0983
1964;Tunisia;tun;af;-0.262712;-0.214031
1964;Tanzania;tza;af;-1.42834;-1.38131
1964;South Africa;zaf;af;-0.256571;0.179486
1964;Zambia;zmb;af;-0.605599;-0.243483
1964;China;chn;as;0.554406;0.718776
1964;Hong Kong;hkg;as;1.32078;1.27428
1964;Indonesia;idn;as;-1.16868;-0.867984
1964;India;ind;as;-0.101997;0.304505
1964;Iran;irn;as;-0.627008;-0.609413
1964;Israel;isr;as;0.914502;0.808423
1964;Jordan;jor;as;0.288584;-0.181733
1964;Japan;jpn;as;2.05183;1.71506
1964;Cambodia;khm;as;-0.650317;-0.607179
1964;South Korea;kor;as;0.651934;0.492763
1964;Kuwait;kwt;as;-0.637334;-0.793065
1964;Lebanon;lbn;as;-0.132;0.389436
1964;Sri Lanka;lka;as;-1.19702;-1.30777
1964;Burma;mmr;as;-0.855248;-1.41402
1964;Malaysia;mys;as;-0.685239;-0.023749
1964;Oman;omn;as;-0.152937;0.047546
1964;Pakistan;pak;as;-0.381593;-0.039761
1964;Philippines;phl;as;-0.51525;-0.701428
1964;Qatar;qat;as;0.305953;-0.298863
1964;Saudi Arabia;sau;as;-0.529598;-1.16081
1964;Singapore;sgp;as;0.399384;0.740139
1964;Syria;syr;as;-0.67562;-0.145375
1964;Thailand;tha;as;-0.901017;-0.849296
1964;Turkey;tur;as;-0.771236;-0.658223
1964;Vietnam;vnm;as;-0.518447;0.091582
1964;Albania;alb;eu;-0.162675;-0.370856
1964;Austria;aut;eu;2.03892;1.70932
1964;Belgium;bel;eu;1.64017;1.63623
1964;Bulgaria;bgr;eu;0.617459;0.68551
1964;Switzerland;che;eu;2.18665;1.90062
1964;Germany;deu;eu;2.3398;1.97284
1964;Denmark;dnk;eu;1.43533;1.35771
1964;Spain;esp;eu;0.593436;0.804249
1964;Finland;fin;eu;1.47829;1.26094
